157,15,438,45
429,226,507,249
5,227,277,250
34,240,431,300
5,270,38,290
10,274,79,301
398,285,481,302
267,292,349,310
441,293,533,307
362,309,472,331
511,310,590,330
111,311,332,369
10,312,43,328
62,317,106,331
431,320,515,335
279,324,536,360
14,330,112,351
296,344,400,364
285,352,373,372
296,352,533,382
34,359,118,384
225,361,324,382
426,372,537,391
38,379,607,442
153,388,253,404
430,404,569,438
183,407,473,439
506,407,539,425
88,422,120,442
236,427,535,463
38,434,199,456
388,442,493,468
200,443,264,457
241,449,308,464
156,450,201,468
135,458,182,473
318,107,530,138
318,123,403,139
426,133,541,209
16,202,631,325
101,211,602,245
101,222,519,254
168,241,232,258
263,242,562,272
16,245,170,279
397,267,529,288
4,268,129,299
195,270,344,307
397,271,464,290
377,275,558,301
1,278,534,316
216,295,298,337
365,299,510,324
522,299,609,414
15,306,194,329
491,310,570,327
232,311,268,336
305,312,570,338
99,315,187,349
5,321,170,342
404,325,517,348
148,333,515,369
331,337,356,361
4,339,53,377
17,340,112,359
573,343,599,371
348,350,526,375
4,357,459,396
476,368,575,408
352,372,454,410
398,372,491,393
15,374,235,431
15,374,157,440
289,379,454,405
486,388,607,421
218,399,596,457
166,405,197,420
270,412,333,431
13,417,629,479
84,425,153,446
343,441,450,459
444,450,529,462
