33,55,1109,334
659,226,984,262
1034,226,1045,262
685,300,867,336
247,327,880,403
437,335,539,360
542,336,901,527
562,355,674,381
754,360,861,397
824,381,870,424
803,385,856,424
579,425,663,458
555,475,887,634
666,503,759,536
583,539,864,650
162,84,882,319
898,84,1122,319
656,207,1055,274
683,300,875,338
477,336,831,378
801,343,865,365
362,352,649,401
545,368,839,459
517,400,652,484
801,405,880,449
644,418,700,444
551,420,883,520
600,484,731,533
582,492,680,534
836,496,852,521
619,501,770,569
811,501,889,569
572,522,668,543
572,522,668,548
580,549,686,596
580,555,674,582
