62,7,513,40
55,32,492,126
55,32,267,173
321,81,374,119
383,106,489,131
270,114,369,173
1,138,172,197
124,166,399,197
448,166,470,197
68,175,216,243
269,175,285,243
45,227,98,305
110,227,515,305
130,243,202,270
40,287,169,316
332,322,546,418
120,395,495,479
80,6,290,36
337,6,461,36
329,23,456,54
34,25,512,159
52,27,510,192
55,28,163,55
52,55,512,192
290,118,437,177
320,135,437,160
172,235,219,264
230,235,257,264
190,268,294,308
63,272,615,350
278,329,315,360
353,370,528,406
259,394,347,431
75,395,347,478
259,395,368,431
260,422,501,479
