65,1,630,25
239,1,593,44
23,18,165,40
4,19,66,34
419,28,529,58
13,35,180,54
410,38,613,86
1,46,173,79
3,63,274,122
409,75,639,109
1,83,65,94
29,85,144,111
454,101,639,117
218,104,263,125
424,107,635,159
411,111,505,133
411,111,592,127
40,112,171,136
446,115,534,148
1,123,141,164
153,130,440,149
1,133,237,175
552,136,629,177
467,136,570,156
290,147,629,185
18,151,136,191
18,153,236,188
271,153,328,178
282,161,391,191
8,165,628,214
520,192,639,214
408,198,632,232
10,203,244,234
240,207,314,231
1,212,599,268
424,228,623,250
5,239,53,253
510,243,639,262
90,264,238,282
173,274,428,291
1,307,611,408
449,369,639,402
29,2,146,20
476,6,522,22
118,11,172,28
553,25,633,41
296,37,425,51
444,47,506,58
523,53,639,73
438,65,622,81
588,68,622,95
588,76,632,95
563,96,638,109
120,114,161,124
559,114,616,126
428,127,480,147
7,133,86,146
1,134,131,156
598,141,620,155
387,145,449,160
13,150,84,174
388,152,447,169
109,154,156,165
500,155,551,167
602,160,639,176
553,161,621,192
105,162,180,183
137,164,468,200
227,185,424,206
194,193,262,215
444,196,591,212
129,205,284,231
568,205,625,221
2,209,60,226
585,211,618,227
106,220,309,235
159,231,203,257
260,236,508,263
590,249,630,263
1,264,540,283
275,301,300,312
10,324,617,406
1,419,639,479
101,429,312,442
