336,2,459,21
61,44,217,93
54,71,122,98
30,83,204,123
16,84,187,120
3,120,418,171
109,145,284,171
295,157,329,174
257,170,284,210
293,170,335,210
1,238,258,462
1,238,490,479
246,287,314,327
326,287,450,327
466,287,481,327
494,287,528,327
540,287,587,327
252,319,301,346
314,319,325,346
495,334,615,371
129,340,216,410
252,343,327,372
501,366,582,405
601,366,616,405
256,368,329,397
168,382,204,404
257,391,305,423
317,391,330,423
502,397,619,439
503,427,587,473
604,427,621,473
110,429,201,460
110,433,140,451
370,1,437,23
370,1,437,20
310,21,398,36
98,27,195,60
109,46,297,94
103,88,207,109
249,89,559,244
46,99,206,123
14,120,342,141
507,168,561,207
245,289,314,328
326,289,368,328
329,292,413,311
494,298,529,317
540,298,584,317
219,312,358,479
421,312,579,479
623,312,627,479
161,348,218,391
162,382,204,405
1,395,220,444
60,447,156,479
60,452,156,479
