166,1,514,74
507,1,603,16
305,27,639,56
495,56,613,133
348,58,451,77
360,89,462,131
90,143,639,178
122,163,639,199
320,189,639,211
158,208,215,224
265,211,615,232
499,271,639,286
240,278,639,330
201,333,351,405
420,347,630,360
434,355,612,377
146,422,497,479
175,1,507,74
235,6,280,30
481,13,605,31
401,37,487,59
233,46,623,153
399,93,426,127
469,124,639,145
478,135,639,154
483,147,630,164
502,156,639,173
81,163,261,207
358,165,421,230
452,170,587,188
451,177,639,196
451,189,639,216
144,205,251,224
501,209,639,242
198,214,475,240
449,229,549,244
476,241,639,254
242,246,380,269
451,252,629,265
451,262,639,275
561,272,628,283
261,282,356,330
451,283,639,294
450,293,626,305
450,304,639,317
217,315,586,370
561,315,638,326
566,326,639,337
586,336,639,348
393,347,636,376
196,355,504,405
20,378,613,479
3,400,269,441
2,425,89,452
20,428,287,479
